date,ticker,pe,source,source_url,snapshot_fetched_at
2018-08-31,SPY,16.3636,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-09-30,SPY,16.6307,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-10-31,SPY,15.9437,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-11-30,SPY,15.3883,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2018-12-31,SPY,14.5989,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-01-31,SPY,15.3532,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-02-28,SPY,16.0457,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-03-31,SPY,16.0457,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-04-30,SPY,16.5109,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-05-31,SPY,16.6055,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-06-30,SPY,16.1975,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-07-31,SPY,16.8376,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-08-31,SPY,16.377,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-09-30,SPY,16.377,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-10-31,SPY,16.7314,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-11-30,SPY,17.4404,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2019-12-31,SPY,17.8847,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-01-31,SPY,17.8847,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-02-29,SPY,18.8039,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-03-31,SPY,14.1205,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-04-30,SPY,19.7692,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-05-31,SPY,20.4651,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
2020-06-30,SPY,21.8561,World PE Ratio · SPY ETF 市盈率,https://worldperatio.com/index/sp-500/,2026-09-16T08:45:01.029Z
